dominio,longitud,puntos,guiones,digitos,entropia,distancia_visual,tiene_ssl,resultado,es_phishing
q7e.sekhemonline.net,20,2,0,1,3.4037,0,0,Error_Conexion,0
paradoxsgaporemerchantcourtatclarkequay.spahotel.guru,53,2,0,0,4.0106,0,1,Evidencia_Phishing,1
www.facebooklogin2022.blogspot.com,34,3,0,4,3.9764,0,0,Limpio,0
heyraashiiii.github.io,22,2,0,0,3.3565,0,1,Evidencia_Phishing,1
member130.agency-programs-partners.com,38,2,2,3,3.9752,0,1,Proteccion_403,1
mya.sekhemonline.net,20,2,0,0,3.4842,0,0,Error_Conexion,0
sonikrishna2707.github.io,25,2,0,4,3.8439,0,1,Evidencia_Phishing,1
roblox.com.bn,13,2,0,0,3.027,0,1,Proteccion_403,1
paarthsarthibeast.github.io,27,2,0,0,3.5138,0,1,Evidencia_Phishing,1
microsoft.authorised-support.com,32,2,1,0,3.8164,0,1,Error_Servidor_Sospechoso,1
support073.agency-partner-manage.com,36,2,2,3,4.0305,0,1,Proteccion_403,1
metamaskloginw.webflow.io,25,2,0,0,3.7835,0,1,Limpio,0
registration.agency-partner-community.com,41,2,2,0,3.8812,0,1,Limpio,0
teach.link,10,1,0,0,3.3219,0,1,Limpio,0
gacitie.com,11,1,0,0,3.0958,0,1,Limpio,0
dappsolutions.github.io,23,2,0,0,3.6753,0,1,Limpio,0
contactlive.agency-partner-manage.com,37,2,2,0,3.7942,0,1,Proteccion_403,1
www.betcccc.com,15,2,0,0,2.6826,0,1,Limpio,0
support2620.agency-partner-register.com,39,2,2,4,4.0772,0,1,Limpio,0
letarthuralcantara.github.io,28,2,0,0,3.5801,0,1,Evidencia_Phishing,1
sakshatbansal007.github.io,26,2,0,3,3.7483,0,1,Evidencia_Phishing,1
www.robiox.com.gr,17,3,0,0,3.1307,0,1,Evidencia_Phishing,1
b259r.xyz,9,1,0,3,3.1699,0,1,Evidencia_Phishing,1
8i39.sekhemonline.net,21,2,0,3,3.5945,0,0,Error_Conexion,0
naveshwar2123.github.io,23,2,0,4,4.0888,0,1,Evidencia_Phishing,1
vhrtcgerx.blogspot.com,22,2,0,0,3.7888,0,1,Limpio,0
www.a365.vip,12,2,0,3,3.0221,0,1,Evidencia_Phishing,1
www.betbbbb.com,15,2,0,0,2.6826,0,1,Limpio,0
started-livedesktop.zapier.app,30,2,1,0,3.7232,0,1,Evidencia_Phishing,1
support1109616.agency-partnerhub-platform.com,45,2,2,7,4.3581,0,1,Proteccion_403,1
dotarmedica.com.co,18,2,0,0,3.1972,0,1,Limpio,0
linkhub.marketing-partner-join.com,34,2,2,0,4.1019,0,1,Limpio,0
check.agency-partner-community.com,34,2,2,0,3.9147,0,1,Limpio,0
confirm.agency-partner-community.com,36,2,2,0,3.8502,0,1,Limpio,0
cloud-open-9trq.p-oqmylewv.workers.dev,38,3,3,1,4.1357,0,1,Limpio,0
s4w.in,6,1,0,1,2.585,0,1,Evidencia_Phishing,1
crystalwaterworldaquacollection.spahotel.guru,45,2,0,0,3.9922,0,1,Evidencia_Phishing,1
aqualuxsuiterme.spahotel.guru,29,2,0,0,3.7849,0,1,Evidencia_Phishing,1
linkurl.pk,10,1,0,0,2.9219,0,1,Limpio,0
support2624.agency-partner-register.com,39,2,2,4,4.0772,0,1,Limpio,0
gemini.10cg.pub,15,2,0,2,3.5069,0,1,Limpio,0
121deo.senes.at,15,2,0,3,3.1899,0,1,Limpio,0
ig.do,5,1,0,0,2.3219,0,1,Limpio,0
portal.agency-partner-community.com,35,2,2,0,3.8926,0,1,Limpio,0
robiox.com.py,13,2,0,0,3.1808,0,1,Evidencia_Phishing,1
sp1-d.jp,8,1,1,1,2.75,0,1,Evidencia_Phishing,1
www.bethhhh.com,15,2,0,0,2.9232,0,1,Limpio,0
amazon-clone-inceptioncodes.vercel.app,38,2,2,0,3.85,0,1,Limpio,0
rbxawards.roblox-635.workers.dev,32,3,1,3,3.9025,0,1,Limpio,0
906ad02f.cdnf.cc,16,2,0,5,3.2028,0,0,Error_Conexion,0
97ee3.catex.at,14,2,0,3,3.0391,0,1,Limpio,0
roblox.com.ge,13,2,0,0,3.1808,0,1,Evidencia_Phishing,1
www.365168888.com,17,2,0,9,3.1019,0,1,Evidencia_Phishing,1
balamercychildrenscentre.org,28,1,0,0,3.8518,0,1,Evidencia_Phishing,1
semprebomtermais.s3.us-east-005.backblazeb2.com,47,4,2,5,4.1244,0,1,Error_Conexion,0
sonikrishna2707.github.io,25,2,0,4,3.8439,0,1,Evidencia_Phishing,1
paarthsarthibeast.github.io,27,2,0,0,3.5138,0,1,Evidencia_Phishing,1
alizamomin.github.io,20,2,0,0,3.5219,0,1,Evidencia_Phishing,1
miss-kniz.github.io,19,2,1,0,3.6163,0,1,Evidencia_Phishing,1
sharlinnadar.github.io,22,2,0,0,3.6635,0,1,Evidencia_Phishing,1
senseihx4.github.io,19,2,0,1,3.5766,0,1,Evidencia_Phishing,1
siddharth7870.github.io,23,2,0,4,3.7623,0,1,Evidencia_Phishing,1
ipfs.io,7,1,0,0,2.5216,0,1,Limpio,0
microsoft.authorised-support.com,32,2,1,0,3.8164,0,1,Error_Servidor_Sospechoso,1
amazon-clone-inceptioncodes.vercel.app,38,2,2,0,3.85,0,1,Limpio,0
pancakeswapd.github.io,22,2,0,0,3.9706,0,1,Limpio,0
ebaymall-xs.shop,16,1,1,0,3.625,0,1,Limpio,0
amazon-clone-sigma-seven.vercel.app,35,2,3,0,3.8402,0,1,Limpio,0
chandraprakashprajapaticpp3-droid.github.io,43,2,1,1,3.92,0,1,Evidencia_Phishing,1
truej6ke3wy6tsjdhbfkfdu7yddkdi-guhnh4a5hedmddhm.z03.azurefd.net,63,3,1,8,4.4413,0,1,Limpio,0
ca-netcoins-app-com-auth.webflow.io,35,2,4,0,4.0004,0,1,Limpio,0
www.amazon.co.za,16,3,0,0,2.8585,0,1,Evidencia_Phishing,1
crystalwaterworldaquacollection.spahotel.guru,45,2,0,0,3.9922,0,1,Evidencia_Phishing,1
aqualuxsuiterme.spahotel.guru,29,2,0,0,3.7849,0,1,Evidencia_Phishing,1
invoice.agency-programs-partners.com,36,2,2,0,3.8984,0,1,Error_Conexion,0
